Element	Transition Probability
   1		      0.0625
   2		      0.0625
   3		      0.0625
   4		      0.0625
   5		      0.0273438
   6		      0.0273438
   7		      0.0273438
   8		      0.0273438
   9		      0.0273438
   10		      0.0273438
   11		      0.0231781
   12		      0.0231781
   13		      0.0231781
   14		      0.0231781
   15		      0.0231781
   16		      0.0231781
   17		      0.0625
